t [s]	Ux [V]	Uy [V]
9,66124	-1,387919	0,002526
9,67124	-1,384095	0,008906
9,68124	-1,389194	0,002526
9,69124	-1,384095	0,00763
9,70124	-1,390468	0,00763
9,720282	-1,390468	0,003802
9,730282	-1,382821	0,006354
9,740282	-1,391743	0,003802
9,750282	-1,390468	0,003802
9,760282	-1,386645	0,002526
9,770282	-1,387919	0,006354
9,780282	-1,386645	0,006354
9,790282	-1,389194	0,006354
9,800282	-1,387919	0,002526
9,810282	-1,387919	0,010181
9,826262	-1,390468	0,006354
9,836262	-1,389194	0,003802
9,846262	-1,387919	0,006354
9,856262	-1,386645	0,006354
9,866262	-1,390468	0,003802
9,876262	-1,384095	0,006354
9,886262	-1,387919	0,002526
9,896262	-1,390468	0,00763
9,906262	-1,386645	0,003802
9,916262	-1,386645	0,005078
9,94664	-1,387919	0,006354
9,95664	-1,386645	0,006354
9,96664	-1,390468	0,003802
9,97664	-1,387919	0,008906
9,98664	-1,387919	0,003802
9,99664	-1,387919	0,006354
10,00664	-1,384095	0,008906
10,01664	-1,387919	0,005078
10,02664	-1,386645	0,006354
10,03664	-1,389194	0,005078
10,060498	-1,390468	0,003802
10,070498	-1,386645	0,008906
10,080498	-1,386645	0,002526
10,090498	-1,387919	0,010181
10,100498	-1,387919	0,008906
10,110498	-1,387919	0,010181
10,120498	-1,38537	0,00763
10,130498	-1,386645	0,002526
10,140498	-1,387919	0,010181
10,150498	-1,386645	0,008906
10,171235	-1,391743	0,002526
10,181235	-1,386645	0,003802
10,191235	-1,384095	0,006354
10,201235	-1,384095	0,006354
10,211235	-1,387919	0,010181
10,221235	-1,386645	0,003802
10,231235	-1,387919	0,002526
10,241235	-1,389194	0,008906
10,251235	-1,384095	0,006354
10,261235	-1,391743	0,002526
10,276379	-1,386645	0,006354
10,286379	-1,38537	0,006354
10,296379	-1,386645	0,002526
10,306379	-1,384095	0,010181
10,316379	-1,390468	0,002526
10,326379	-1,386645	0,006354
10,336379	-1,387919	0,006354
10,346379	-1,390468	0,002526
10,356379	-1,384095	0,006354
10,366379	-1,390468	0,006354
10,384706	-1,384095	0,008906
10,394706	-1,390468	0,006354
10,404706	-1,387919	0,010181
10,414706	-1,384095	0,006354
10,424706	-1,386645	0,002526
10,434706	-1,386645	0,008906
10,444706	-1,386645	0,002526
10,454706	-1,387919	0,010181
10,464706	-1,387919	0,003802
10,474706	-1,387919	0,010181
10,504501	-1,390468	0,003802
10,514501	-1,386645	0,006354
10,524501	-1,384095	0,006354
10,534501	-1,386645	0,008906
10,544501	-1,386645	0,006354
10,554501	-1,387919	0,006354
10,564501	-1,384095	0,006354
10,574501	-1,389194	0,006354
10,584501	-1,386645	0,002526
10,594501	-1,386645	0,008906
10,61632	-1,384095	0,008906
10,62632	-1,386645	0,003802
10,63632	-1,382821	0,006354
10,64632	-1,386645	0,010181
10,65632	-1,390468	0,003802
10,66632	-1,386645	0,003802
10,67632	-1,386645	0,003802
10,68632	-1,389194	0,006354
10,69632	-1,387919	0,002526
10,70632	-1,384095	0,006354
10,73588	-1,387919	0,006354
10,74588	-1,387919	0,00763
10,75588	-1,386645	0,002526
10,76588	-1,386645	0,008906
10,77588	-1,386645	0,002526
10,78588	-1,386645	0,010181
10,79588	-1,386645	0,003802
10,80588	-1,390468	0,006354
10,81588	-1,390468	0,006354
10,82588	-1,384095	0,00763
10,848774	-1,384095	0,010181
10,858774	-1,387919	0,002526
10,868774	-1,390468	0,003802
10,878774	-1,382821	0,008906
10,888774	-1,390468	0,003802
10,898774	-1,386645	0,002526
10,908774	-1,387919	0,002526
10,918774	-1,38537	0,008906
10,928774	-1,390468	0,006354
10,938774	-1,386645	0,002526
10,956173	-1,390468	0,003802
10,966173	-1,386645	0,006354
10,976173	-1,384095	0,008906
10,986173	-1,387919	0,008906
10,996173	-1,390468	0,002526
11,006173	-1,386645	0,006354
11,016173	-1,386645	0,006354
11,026173	-1,390468	0,003802
11,036173	-1,386645	0,006354
11,046173	-1,386645	0,006354
11,066737	-1,387919	0,006354
11,076737	-1,391743	0,002526
11,086737	-1,387919	0,006354
11,096737	-1,384095	0,005078
11,106737	-1,384095	0,006354
11,116737	-1,384095	0,008906
11,126737	-1,390468	0,003802
11,136737	-1,386645	0,008906
11,146737	-1,387919	0,002526
11,156737	-1,386645	0,010181
11,184051	-1,390468	0,003802
11,194051	-1,382821	0,006354
11,204051	-1,386645	0,008906
11,214051	-1,391743	0,002526
11,224051	-1,384095	0,008906
11,234051	-1,386645	0,005078
11,244051	-1,390468	0,003802
11,254051	-1,382821	0,008906
11,264051	-1,390468	0,003802
11,274051	-1,382821	0,010181
11,304092	-1,386645	0,00763
11,314092	-1,386645	0,008906
11,324092	-1,389194	0,008906
11,334092	-1,390468	0,002526
11,344092	-1,384095	0,008906
11,354092	-1,387919	0,002526
11,364092	-1,386645	0,008906
11,374092	-1,386645	0,002526
11,384092	-1,384095	0,006354
11,394092	-1,38537	0,010181
11,409567	-1,387919	0,006354
11,419567	-1,384095	0,006354
11,429567	-1,387919	0,002526
11,439567	-1,390468	0,003802
11,449567	-1,386645	0,006354
11,459567	-1,386645	0,008906
11,469567	-1,384095	0,006354
11,479567	-1,382821	0,006354
11,489567	-1,386645	0,008906
11,499567	-1,384095	0,003802
11,519792	-1,386645	0,006354
11,529792	-1,389194	0,002526
11,539792	-1,384095	0,010181
11,549792	-1,38537	0,006354
11,559792	-1,384095	0,010181
11,569792	-1,387919	0,006354
11,579792	-1,38537	0,00763
11,589792	-1,381546	0,006354
11,599792	-1,384095	0,00763
11,609792	-1,377723	0,003802
11,639146	-1,362428	0,008906
11,649146	-1,366252	0,006354
11,659146	-1,366252	0,006354
11,669146	-1,361154	0,008906
11,679146	-1,363703	0,006354
11,689146	-1,366252	0,002526
11,699146	-1,363703	0,006354
11,709146	-1,361154	0,008906
11,719146	-1,362428	0,002526
