T [s]	Ux [V]	Uy [V]
16,792454	8,589225	0,006354
16,802454	8,591774	0,002526
16,812454	8,591774	0,00763
16,822454	8,594324	0,010181
16,832454	8,591774	0,006354
16,842454	8,595598	0,006354
16,852454	8,591774	0,008906
16,862454	8,593049	0,006354
16,885915	8,594324	0,008906
16,895915	8,591774	0,002526
16,905915	8,589225	0,00763
16,915915	8,591774	0,010181
16,925915	8,595598	0,006354
16,935915	8,589225	0,006354
16,945915	8,56246	0,006354
16,955915	8,539518	0,005078
16,965915	8,50638	0,003802
16,975915	8,470693	0,008906
17,006039	8,343238	0,006354
17,016039	8,293531	0,008906
17,026039	8,233627	0,006354
17,036039	8,177547	0,010181
17,046039	8,122742	0,010181
17,056039	8,060289	0,006354
17,066039	8,006758	0,006354
17,076039	7,94558	0,006354
17,086039	7,886951	0,003802
17,096039	7,838518	0,005078
17,122784	7,688122	0,005078
17,132784	7,639689	0,003802
17,142784	7,578511	0,006354
17,152784	7,527529	0,006354
17,162784	7,473998	0,00763
17,172784	7,423016	0,008906
17,182784	7,369485	0,005078
17,192784	7,315954	0,006354
17,202784	7,262423	0,002526
17,212784	7,215265	0,008906
17,236151	7,106929	0,008906
17,246151	7,05977	0,005078
17,256151	7,008789	0,003802
17,266151	6,956532	0,006354
17,276151	6,911923	0,008906
17,286151	6,854569	0,002526
17,296151	6,798489	0,006354
17,306151	6,748781	0,002526
17,316151	6,697799	0,008906
17,326151	6,640445	0,005078
17,356356	6,469656	0,00763
17,366356	6,402105	0,003802
17,376356	6,342201	0,006354
17,386356	6,268277	0,005078
17,396356	6,208374	0,006354
17,406356	6,142097	0,00763
17,416356	6,075821	0,002526
17,426356	6,017192	0,006354
17,436356	5,949641	0,006354
17,446356	5,885914	0,002526
17,47668	5,673065	0,006354
17,48668	5,596592	0,006354
17,49668	5,530315	0,006354
17,50668	5,460215	0,006354
17,51668	5,397763	0,008906
17,52668	5,33531	0,006354
17,53668	5,266484	0,002526
17,54668	5,205306	0,005078
17,55668	5,135206	0,010181
17,56668	5,058734	0,010181
17,59129	4,870101	0,002526
17,60129	4,808923	0,006354
17,61129	4,740097	0,006354
17,62129	4,671272	0,006354
17,63129	4,602446	0,003802
17,64129	4,537444	0,008906
17,65129	4,464795	0,008906
17,66129	4,388322	0,00763
17,67129	4,320772	0,006354
17,68129	4,244299	0,006354
17,710118	4,048019	0,006354
17,720118	3,980468	0,008906
17,730118	3,90527	0,006354
17,740118	3,842817	0,006354
17,750118	3,772717	0,006354
17,760118	3,701342	0,003802
17,770118	3,633791	0,002526
17,780118	3,573888	0,008906
17,790118	3,512709	0,006354
17,800118	3,442609	0,006354
17,8273	3,27182	0,006354
17,8373	3,21574	0,006354
17,8473	3,155837	0,003802
17,8573	3,101031	0,006354
17,8673	3,043677	0,008906
17,8773	2,986322	0,006354
17,8873	2,925144	0,002526
17,8973	2,867789	0,006354
17,9073	2,80916	0,005078
17,9173	2,754355	0,003802
17,931543	2,676607	0,006354
17,941543	2,615429	0,008906
17,951543	2,547878	0,006354
17,961543	2,490524	0,006354
17,971543	2,43062	0,008906
17,981543	2,365618	0,008906
17,991543	2,303166	0,006354
